t, E, n,m
0.01, 975.4615, 1000, 13
0.02, 1945.7463, 2000, 0
0.03, 2911.2935, 3000, 5
0.04, 3871.4482, 4000, 5
0.049999997, 4826.5376, 5000, 5
0.059999995, 5777.5874, 6000, 0
0.06999999, 6724.728, 7000, 0
0.07999999, 7668.302, 8000, 6
0.08999999, 8608.1875, 9000, 5
0.09999999, 9545.619, 10000, 4
0.109999985, 10479.688, 11000, 0
0.11999998, 11410.071, 12000, 0
0.12999998, 12337.368, 13000, 0
0.13999999, 13261.442, 14000, 0
0.14999999, 14182.126, 15000, 5
0.16, 15100.005, 16000, 0
0.17, 16014.01, 17000, 0
0.18, 16925.082, 18000, 0
0.19000001, 17833.045, 19000, 2
0.20000002, 18738.807, 20000, 3
0.21000002, 19641.707, 21000, 0
0.22000003, 20542.283, 22000, 3
0.23000003, 21440.818, 23000, 8
0.24000004, 22336.488, 24000, 2
0.25000003, 23229.611, 25000, 2
0.26000002, 24120.377, 26000, 0
0.27, 25009.045, 27000, 5
0.28, 25895.75, 28000, 0
0.29, 26780.84, 29000, 0
0.29999998, 27664.355, 30000, 0
0.30999997, 28547.232, 31000, 6
0.31999996, 29428.213, 32000, 3
0.32999995, 30306.535, 33000, 8
0.33999994, 31181.822, 34000, 0
0.34999993, 32054.912, 35000, 0
0.35999992, 32926.81, 36000, 0
0.36999992, 33795.7, 37000, 5
0.3799999, 34662.38, 38000, 6
0.3899999, 35528.266, 39000, 5
0.3999999, 36391.934, 40000, 3
0.40999988, 37255.23, 41000, 4
0.41999987, 38116.562, 42000, 14
0.42999986, 38975.223, 43000, 7
0.43999985, 39832.137, 44000, 11
0.44999984, 40688.66, 45000, 0
0.45999983, 41545.285, 46000, 5
0.46999982, 42399.414, 47000, 5
0.4799998, 43253.17, 48000, 5
0.4899998, 44105.105, 49000, 5
0.4999998, 44955.797, 50000, 5
0.5099998, 45806.406, 51000, 0
0.5199998, 46655.87, 52000, 6
0.5299998, 47503.344, 53000, 0
0.5399998, 48349.477, 54000, 11
0.5499998, 49194.027, 55000, 10
0.55999976, 50038.33, 56000, 6
0.56999975, 50881.094, 57000, 4
0.57999974, 51723.457, 58000, 12
0.58999974, 52564.273, 59000, 10
0.5999997, 53403.023, 60000, 12
0.6099997, 54241.277, 61000, 6
0.6199997, 55078.473, 62000, 5
0.6299997, 55914.234, 63000, 7
0.6399997, 56748.332, 64000, 9
0.6499997, 57581.613, 65000, 5
0.65999967, 58414.285, 66000, 0
0.66999966, 59245.76, 67000, 5
0.67999965, 60077.758, 68000, 0
0.68999964, 60907.254, 69000, 6
0.69999963, 61736.12, 70000, 0
0.7099996, 62563.99, 71000, 8
0.7199996, 63390.504, 72000, 2
0.7299996, 64215.812, 73000, 5
0.7399996, 65039.16, 74000, 5
0.7499996, 65861.96, 75000, 5
0.7599996, 66683.61, 76000, 0
0.76999956, 67504.45, 77000, 9
0.77999955, 68324.83, 78000, 5
0.78999954, 69143.27, 79000, 5
0.79999954, 69961.36, 80000, 10
0.8099995, 70777.75, 81000, 5
0.8199995, 71592.62, 82000, 1
0.8299995, 72406.47, 83000, 5
0.8399995, 73219.234, 84000, 7
0.8499995, 74030.78, 85000, 3
0.8599995, 74842.305, 86000, 4
0.86999947, 75652.31, 87000, 2
0.87999946, 76462.69, 88000, 7
0.88999945, 77272.234, 89000, 9
0.89999944, 78080.19, 90000, 7
0.90999943, 78888.195, 91000, 9
0.9199994, 79694.82, 92000, 10
0.9299994, 80502.805, 93000, 10
0.9399994, 81308.305, 94000, 4
0.9499994, 82114.01, 95000, 5
0.9599994, 82918.836, 96000, 10
0.9699994, 83722.15, 97000, 40
0.97999936, 84525.64, 98000, 14
0.98999935, 85329.12, 99000, 20
0.99999934, 86132.14, 100000, 18
1.0099994, 86935.99, 101000, 30
1.0199994, 87739.95, 102000, 17
1.0299994, 88544.61, 103000, 19
1.0399994, 89346.81, 104000, 16
1.0499994, 90147.62, 105000, 13
1.0599993, 90950.15, 106000, 10
1.0699993, 91748.76, 107000, 11
1.0799993, 92550.35, 108000, 8
1.0899993, 93349.66, 109000, 10
1.0999993, 94149.87, 110000, 13
1.1099993, 94949.12, 111000, 11
1.1199993, 95751.51, 112000, 11
1.1299993, 96549.8, 113000, 13
1.1399993, 97348.38, 114000, 17
1.1499993, 98146.6, 115000, 10
1.1599993, 98944.336, 116000, 20
1.1699992, 99740.02, 117000, 14
1.1799992, 100537.555, 118000, 19
1.1899992, 101334.67, 119000, 13
1.1999992, 102130.555, 120000, 14
1.2099992, 102924.44, 121000, 13
1.2199992, 103719.79, 122000, 20
1.2299992, 104514.95, 123000, 15
1.2399992, 105309.055, 124000, 12
1.2499992, 106103.5, 125000, 21
1.2599992, 106895.69, 126000, 18
1.2699991, 107688.11, 127000, 10
1.2799991, 108480.65, 128000, 9
1.2899991, 109270.49, 129000, 10
1.2999991, 110062.2, 130000, 10
1.3099991, 110846.73, 131000, 5
1.3199991, 111636.4, 132000, 10
1.3299991, 112425.03, 133000, 10
1.3399991, 113214.16, 134000, 16
1.3499991, 114001.72, 135000, 12
1.3599991, 114790.27, 136000, 14
1.369999, 115577.04, 137000, 15
1.379999, 116362.78, 138000, 9
1.389999, 117149.766, 139000, 10
1.399999, 117936.34, 140000, 15
1.409999, 118723.33, 141000, 12
1.419999, 119507.66, 142000, 15
1.429999, 120287.64, 143000, 15
1.439999, 121070.72, 144000, 15
1.449999, 121854.33, 145000, 29
1.459999, 122636.234, 146000, 16
1.469999, 123415.305, 147000, 15
1.479999, 124196.57, 148000, 20
1.4899989, 124976.055, 149000, 14
1.4999989, 125757.195, 150000, 15
1.5099989, 126535.76, 151000, 11
1.5199989, 127318.18, 152000, 11
1.5299989, 128100.95, 153000, 10
1.5399989, 128881.875, 154000, 9
1.5499989, 129660.35, 155000, 10
1.5599989, 130441.38, 156000, 16
1.5699989, 131219.3, 157000, 9
1.5799989, 132002.22, 158000, 5
1.5899988, 132782.17, 159000, 10
1.5999988, 133560.0, 160000, 14
1.6099988, 134341.27, 161000, 18
1.6199988, 135118.86, 162000, 14
1.6299988, 135898.08, 163000, 19
1.6399988, 136675.2, 164000, 8
1.6499988, 137455.44, 165000, 13
1.6599988, 138232.89, 166000, 15
1.6699988, 139010.05, 167000, 11
1.6799988, 139784.52, 168000, 15
1.6899987, 140560.33, 169000, 15
1.6999987, 141333.73, 170000, 20
1.7099987, 142104.73, 171000, 20
1.7199987, 979.39014, 1000, 0
1.7299987, 1953.1772, 2000, 0
1.7399987, 2921.6497, 3000, 0
1.7499987, 3885.9968, 4000, 0
1.7599987, 4846.5303, 5000, 0
1.7699987, 5803.1733, 6000, 0
1.7799987, 6754.8184, 7000, 0
1.7899987, 7703.156, 8000, 0
1.7999986, 8648.068, 9000, 0
1.8099986, 9590.219, 10000, 0
1.8199986, 10528.04, 11000, 0
1.8299986, 11462.369, 12000, 0
1.8399986, 12392.792, 13000, 0
1.8499986, 13319.29, 14000, 0
1.8599986, 14241.931, 15000, 0
1.8699986, 15161.185, 16000, 0
1.8799986, 16078.518, 17000, 0
1.8899986, 16992.691, 18000, 0
1.8999985, 17904.68, 19000, 0
1.9099985, 18813.984, 20000, 5
1.9199985, 19719.186, 21000, 7
1.9299985, 20621.781, 22000, 0
1.9399985, 21522.271, 23000, 0
1.9499985, 22419.982, 24000, 0
1.9599985, 23315.125, 25000, 0
1.9699985, 24208.145, 26000, 0
1.9799985, 25099.518, 27000, 0
1.9899985, 25989.5, 28000, 0
1.9999985, 26877.771, 29000, 0
2.0099986, 27764.217, 30000, 0
2.0199986, 28649.512, 31000, 0
2.0299985, 29533.113, 32000, 0
2.0399985, 30415.932, 33000, 0
2.0499985, 31296.904, 34000, 0
2.0599985, 32175.844, 35000, 5
2.0699985, 33051.24, 36000, 4
2.0799985, 33924.613, 37000, 7
2.0899985, 34795.043, 38000, 4
2.0999985, 35664.21, 39000, 4
2.1099985, 36531.49, 40000, 7
2.1199985, 37397.36, 41000, 7
2.1299984, 38261.457, 42000, 1
2.1399984, 39123.54, 43000, 0
2.1499984, 39984.523, 44000, 3
2.1599984, 40843.098, 45000, 0
2.1699984, 41700.74, 46000, 0
2.1799984, 42556.656, 47000, 0
2.1899984, 43411.816, 48000, 0
2.1999984, 44264.777, 49000, 0
2.2099984, 45116.234, 50000, 5
2.2199984, 45966.64, 51000, 0
2.2299984, 46816.312, 52000, 5
2.2399983, 47663.777, 53000, 5
2.2499983, 48511.375, 54000, 5
2.2599983, 49356.887, 55000, 5
2.2699983, 50200.75, 56000, 6
2.2799983, 51043.996, 57000, 11
2.2899983, 51886.965, 58000, 3
2.2999983, 52728.39, 59000, 0
2.3099983, 53569.75, 60000, 0
2.3199983, 54409.4, 61000, 10
2.3299983, 55247.695, 62000, 5
2.3399982, 56086.16, 63000, 5
2.3499982, 56920.39, 64000, 9
2.3599982, 57754.34, 65000, 3
2.3699982, 58588.918, 66000, 3
2.3799982, 59421.09, 67000, 5
2.3899982, 60253.586, 68000, 0
2.3999982, 61084.574, 69000, 5
2.4099982, 61915.75, 70000, 1
2.4199982, 62744.707, 71000, 6
2.4299982, 63573.758, 72000, 0
2.4399981, 64401.426, 73000, 9
2.4499981, 65228.85, 74000, 5
2.4599981, 66052.93, 75000, 6
2.4699981, 66874.45, 76000, 5
2.479998, 67697.65, 77000, 5
2.489998, 68517.38, 78000, 6
2.499998, 69338.21, 79000, 7
2.509998, 70157.47, 80000, 17
2.519998, 70974.516, 81000, 12
2.529998, 71791.18, 82000, 13
2.539998, 72607.6, 83000, 10
2.549998, 7342