t, n, Tsim, raw
17.069977, 5200,11.0,
17.099977, 5200,10.0,
17.129978, 5200,10.0,
17.159979, 5200,9.0,
17.18998, 5300,11.0,
17.21998, 5300,10.0,
17.24998, 5300,10.0,
17.279982, 5300,9.0,
17.309982, 5300,10.0,
17.339983, 5300,11.0,
17.369984, 5300,10.0,
17.399984, 5400,11.0,
17.429985, 5400,10.0,
17.459986, 5400,11.0,
17.489986, 5400,10.0,
17.519987, 5400,10.0,
17.549988, 5400,10.0,
17.579988, 5500,16.0,
17.60999, 5500,9.0,
17.63999, 5500,11.0,
17.66999, 5500,10.0,
17.699991, 5500,9.0,
17.729992, 5500,11.0,
17.759993, 5500,10.0,
17.789993, 5600,10.0,
17.819994, 5600,11.0,
17.849995, 5600,10.0,
17.879995, 5600,10.0,
17.909996, 5600,11.0,
17.939997, 5600,9.0,
17.969997, 5600,11.0,
17.999998, 5700,11.0,
18.029999, 5700,10.0,
18.06, 5700,11.0,
18.09, 5700,10.0,
18.12, 5700,10.0,
18.150002, 5700,10.0,
18.180002, 5700,11.0,
18.210003, 5800,11.0,
18.240004, 5800,12.0,
18.270004, 5800,12.0,
18.300005, 5800,12.0,
18.330006, 5800,10.0,
18.360006, 5800,11.0,
18.390007, 5900,12.0,
18.420008, 5900,12.0,
18.450008, 5900,11.0,
18.48001, 5900,12.0,
18.51001, 5900,12.0,
18.54001, 5900,12.0,
18.570011, 6000,12.0,
18.600012, 6000,11.0,
18.630013, 6000,12.0,
18.660013, 6000,12.0,
18.690014, 6000,11.0,
18.720015, 6000,11.0,
18.750015, 6100,14.0,
18.780016, 6100,13.0,
18.810017, 6100,11.0,
18.840017, 6100,12.0,
18.870018, 6100,13.0,
18.900019, 6100,12.0,
18.93002, 6200,12.0,
18.96002, 6200,12.0,
18.99002, 6200,12.0,
19.020021, 6200,13.0,
19.050022, 6200,13.0,
19.080023, 6200,13.0,
19.110023, 6300,13.0,
19.140024, 6300,14.0,
19.170025, 6300,14.0,
19.200026, 6300,13.0,
19.230026, 6300,13.0,
19.260027, 6300,14.0,
19.290028, 6400,15.0,
19.320028, 6400,14.0,
19.350029, 6400,14.0,
19.38003, 6400,14.0,
19.41003, 6400,14.0,
19.440031, 6400,13.0,
19.470032, 6400,13.0,
19.500032, 6400,13.0,
19.530033, 6400,13.0,
19.560034, 6400,13.0,
19.590034, 6400,14.0,
19.620035, 6500,13.0,
19.650036, 6500,13.0,
19.680037, 6500,13.0,
19.710037, 6500,14.0,
19.740038, 6500,13.0,
19.770039, 6500,14.0,
19.80004, 6600,14.0,
19.83004, 6600,14.0,
19.86004, 6600,13.0,
19.890041, 6600,13.0,
19.920042, 6600,13.0,
19.950043, 6600,14.0,
19.980043, 6700,14.0,
20.010044, 6700,13.0,
20.040045, 6700,14.0,
20.070045, 6700,14.0,
20.100046, 6700,13.0,
20.130047, 6700,14.0,
20.160048, 6800,14.0,
20.190048, 6800,13.0,
20.220049, 6800,14.0,
20.25005, 6800,14.0,
20.28005, 6800,15.0,
20.310051, 6900,15.0,
20.340052, 6900,15.0,
20.370052, 6900,15.0,
20.400053, 6900,14.0,
20.430054, 6900,14.0,
20.460054, 7000,15.0,
20.490055, 7000,15.0,
20.520056, 7000,15.0,
20.550056, 7000,14.0,
20.580057, 7000,15.0,
20.610058, 7000,14.0,
20.640059, 7100,16.0,
20.67006, 7100,15.0,
20.70006, 7100,15.0,
20.73006, 7100,15.0,
20.760061, 7100,15.0,
20.790062, 7100,15.0,
20.820063, 7200,15.0,
20.850063, 7200,16.0,
20.880064, 7200,15.0,
20.910065, 7200,16.0,
20.940065, 7200,15.0,
20.970066, 7300,16.0,
21.000067, 7300,15.0,
21.030067, 7300,15.0,
21.060068, 7300,15.0,
21.090069, 7300,16.0,
21.12007, 7400,16.0,
21.15007, 7400,16.0,
21.18007, 7400,15.0,
21.210072, 7400,16.0,
21.240072, 7400,17.0,
21.270073, 7400,16.0,
21.300074, 7500,20.0,
21.330074, 7500,17.0,
21.360075, 7500,16.0,
21.390076, 7500,19.0,
21.420076, 7500,16.0,
21.450077, 7600,16.0,
21.480078, 7600,17.0,
21.510078, 7600,17.0,
21.54008, 7600,16.0,
21.57008, 7600,17.0,
21.60008, 7700,17.0,
21.630081, 7700,17.0,
21.660082, 7700,20.0,
21.690083, 7700,17.0,
21.720083, 7800,18.0,
21.750084, 7800,17.0,
21.780085, 7800,18.0,
21.810085, 7800,18.0,
21.840086, 7800,18.0,
21.870087, 7900,18.0,
21.900087, 7900,18.0,
21.930088, 7900,17.0,
21.960089, 7900,18.0,
21.99009, 7900,17.0,
22.02009, 8000,18.0,
22.05009, 8000,17.0,
22.080091, 8000,20.0,
22.110092, 8000,19.0,
22.140093, 8100,19.0,
22.170094, 8100,18.0,
22.200094, 8100,19.0,
22.230095, 8100,19.0,
22.260096, 8100,19.0,
22.290096, 8200,19.0,
22.320097, 8200,19.0,
22.350098, 8200,19.0,
22.380098, 8200,18.0,
22.410099, 8200,18.0,
22.4401, 8300,19.0,
22.4701, 8300,20.0,
22.500101, 8300,19.0,
22.530102, 8300,19.0,
22.560102, 8300,19.0,
22.590103, 8400,20.0,
22.620104, 8400,19.0,
22.650105, 8400,20.0,
22.680105, 8400,19.0,
22.710106, 8500,20.0,
22.740107, 8500,19.0,
22.770107, 8500,20.0,
22.800108, 8500,20.0,
22.830109, 8500,20.0,
22.86011, 8600,22.0,
22.89011, 8600,20.0,
22.92011, 8600,19.0,
22.950111, 8600,20.0,
22.980112, 8700,21.0,
23.010113, 8700,21.0,
23.040113, 8700,20.0,
23.070114, 8700,21.0,
23.100115, 8800,21.0,
23.130116, 8800,21.0,
23.160116, 8800,20.0,
23.190117, 8800,30.0,
23.220118, 8900,23.0,
23.250118, 8900,22.0,
23.280119, 8900,21.0,
23.31012, 8900,21.0,
23.34012, 9000,21.0,
23.370121, 9000,21.0,
23.400122, 9000,21.0,
23.430122, 9000,22.0,
23.460123, 9100,22.0,
23.490124, 9100,21.0,
23.520124, 9100,23.0,
23.550125, 9100,23.0,
23.580126, 9100,23.0,
23.610126, 9200,22.0,
23.640127, 9200,22.0,
23.670128, 9200,21.0,
23.700129, 9200,22.0,
23.73013, 9300,23.0,
23.76013, 9300,23.0,
23.79013, 9300,23.0,
23.820131, 9300,23.0,
23.850132, 9400,25.0,
23.880133, 9400,23.0,
23.910133, 9400,24.0,
23.940134, 9400,23.0,
23.970135, 9500,24.0,
24.000135, 9500,23.0,
24.030136, 9500,24.0,
24.060137, 9600,22.0,
24.090137, 9600,24.0,
24.120138, 9600,24.0,
24.150139, 9600,24.0,
24.18014, 9700,24.0,
24.21014, 9700,24.0,
24.24014, 9700,25.0,
24.270142, 9700,24.0,
24.300142, 9800,25.0,
24.330143, 9800,25.0,
24.360144, 9800,24.0,
24.390144, 9800,24.0,
24.420145, 9900,24.0,
24.450146, 9900,25.0,
24.480146, 9900,25.0,
24.510147, 10000,25.0,
24.540148, 10000,26.0,
24.570148, 10000,26.0,
24.60015, 10000,25.0,
24.63015, 10000,25.0,
24.66015, 10000,26.0,
24.690151, 10000,26.0,
24.720152, 10000,25.0,
24.750153, 10000,25.0,
24.780153, 10000,26.0,
24.810154, 10000,24.0,
24.840155, 10000,27.0,
24.870155, 10000,25.0,
24.900156, 10000,26.0,
24.930157, 10000,24.0,
24.960157, 10000,25.0,
24.990158, 10000,26.0,
25.020159, 10000,25.0,
25.05016, 10000,25.0,
25.08016, 10000,25.0,
25.11016, 10000,25.0,
25.140162, 10000,26.0,
25.170162, 10000,27.0,
25.200163, 10000,26.0,
25.230164, 10000,26.0,
25.260164, 10000,25.0,
25.290165, 10000,25.0,
25.320166, 10000,25.0,
25.350166, 10000,25.0,
25.380167, 10000,25.0,
25.410168, 10000,25.0,
25.440168, 10000,27.0,
25.47017, 10000,26.0,
25.50017, 10000,25.0,
25.53017, 10000,26.0,
25.560171, 10000,25.0,
25.590172, 10000,25.0,
25.620173, 10000,25.0,
25.650173, 10000,24.0,
25.680174, 10000,25.0,
25.710175, 10000,25.0,
25.740175, 10000,25.0,
25.770176, 10000,27.0,
25.800177, 10000,26.0,
25.830177, 10000,25.0,
25.860178, 10000,25.0,
25.890179, 10000,26.0,
25.92018, 10000,25.0,
25.95018, 10000,27.0,
25.98018, 10000,25.0,
26.010181, 10000,25.0,
26.040182, 10000,25.0,
26.070183, 10000,26.0,
26.100183, 10000,25.0,
26.130184, 10000,25.0,
26.160185, 10000,25.0,
26.190186, 10000,25.0,
26.220186, 10000,25.0,
26.250187, 10000,23.0,
26.280188, 10000,25.0,
26.310188, 10000,24.0,
26.340189, 10000,24.0,
26.37019, 10000,26.0,
26.40019, 10000,25.0,
26.430191, 10000,25.0,
26.460192, 10000,25.0,
26.490192, 10000,24.0,
26.520193, 10000,25.0,
26.550194, 10000,25.0,
26.580194, 10000,25.0,
26.610195, 10000,26.0,
26.640196, 10000,25.0,
26.670197, 10000,26.0,
26.700197, 10000,25.0,
26.730198, 10000,25.0,
26.760199, 10000,25.0,
26.7902, 10000,26.0,
26.8202, 10000,25.0,
26.8502, 10000,26.0,
26.880201, 10000,26.0,
26.910202, 10000,24.0,
26.940203, 10000,24.0,
26.970203, 10000,27.0,
27.000204, 10000,26.0,
27.030205, 10000,25.0,
27.060205, 10000,25.0,
27.090206, 10000,24.0,
27.120207, 10000,25.0,
27.150208, 10000,26.0,
27.180208, 10000,26.0,
27.210209, 10000,25.0,
27.24021, 10000,25.0,
27.27021, 10000,25.0,
27.30021, 10000,25.0,
27.330212, 10000,25.0,
27.360212, 10000,24.0,
27.390213, 10000,25.0,
27.420214, 10000,24.0,
27.450214, 10000,25.0,
27.480215, 10000,25.0,
27.510216, 10000,25.0,
27.540216, 10000,26.0,
27.570217, 10000,25.0,
27.600218, 10000,25.0,
27.630219, 10000,24.0,
27.66022, 10000,25.0,
27.69022, 10000,26.0,
27.72022, 10000,27.0,
27.750221, 10000,25.0,
27.780222, 10000,25.0,
27.810223, 10000,25.0,
27.840223, 10000,26.0,
27.870224, 10000,27.0,
27.900225, 10000,25.0,
27.930225, 10000,33.0,
27.960226, 10000,30.0,
27.990227, 10000,25.0,
28.020227, 10000,25.0,
28.050228, 10000,26.0,
28.080229, 10000,26.0,
28.11023, 10000,25.0,
28.14023, 10000,24.0,
28.17023, 10000,25.0,
28.200232, 10000,26.0,
28.230232, 10000,25.0,
28.260233, 10000,24.0,
28.290234, 10000,24.0,
28.320234, 10000,31.0,
28.350235, 10000,26.0,
28.380236, 10000,25.0,
28.410236, 10000,25.0,
28.440237, 10000,25.0,
28.470238, 10000,25.0,
28.500238, 10000,26.0,
28.53024, 10000,24.0,
28.56024, 10000,25.0,
28.59024, 10000,25.0,
28.620241, 10000,25.0,
28.650242, 10000,25.0,
28.680243, 10000,26.0,
28.710243, 10000,24.0,
28.740244, 10000,24.0,
28.770245, 10000,25.0,
28.800245, 10000,26.0,
28.830246, 10000,26.0,
28.860247, 10000,26.0,
28.890247, 10000,26.0,
28.920248, 10000,25.0,
28.950249, 10000,25.0,
28.98025, 10000,26.0,
29.01025, 10000,24.0,
29.04025, 10000,25.0,
29.070251, 10000,25.0,
29.100252, 10000,26.0,
29.130253, 10000,24.0,
29.160254, 10000,24.0,
29.190254, 10000,25.0,
29.220255, 10000,25.0,
29.250256, 10000,27.0,
29.280256, 10000,26.0,
29.310257, 10000,26.0,
29.340258, 10000,26.0,
29.370258, 10000,26.0,
29.400259, 10000,25.0,
29.43026, 10000,26.0,
29.46026, 10000,26.0,
29.490261, 10000,26.0,
29.520262, 10000,26.0,
29.550262, 10000,27.0,
29.580263, 10000,26.0,
29.610264, 10000,26.0,
29.640265, 10000,28.0,
29.670265, 10000,26.0,
29.700266, 10000,25.0,
29.730267, 10000,26.0,
29.760267, 10000,26.0,
29.790268, 10000,26.0,
29.820269, 10000,25.0,
29.85027, 10000,26.0,
29.88027, 10000,24.0,
29.91027, 10000,25.0,
29.940271, 10000,25.0,
29.970272, 10000,26.0,
30.000273, 10000,24.0,
30.030273, 10000,28.0,
30.060274, 10000,24.0,
30.090275, 10000,25.0,
30.120275, 10000,26.0,
30.150276, 10000,27.0,
30.180277, 10000,25.0,
30.210278, 10000,26.0,
30.240278, 10000,25.0,
30.270279, 10000,26.0,
30.30028, 10000,26.0,
30.33028, 10000,27.0,
30.360281, 10000,26.0,
30.390282, 10000,25.0,
30.420282, 10000,25.0,
30.450283, 10000,26.0,
30.480284, 10000,28.0,
30.510284, 10000,24.0,
30.540285, 10000,25.0,
30.570286, 10000,25.0,
30.600286, 10000,25.0,
30.630287, 10000,27.0,
30.660288, 10000,26.0,
30.690289, 10000,26.0,
30.72029, 10000,26.0,
30.75029, 10000,26.0,
30.78029, 10000,26.0,
30.810291, 10000,25.0,
30.840292, 10000,25.0,
30.870293, 10000,24.0,
30.900293, 10000,24.0,
30.930294, 10000,26.0,
30.960295, 10000,24.0,
30.990295, 10000,25.0,
31.020296, 10000,26.0,
31.050297, 10000,29.0,
31.080297, 10000,29.0,
31.110298, 10000,28.0,
31.140299, 10000,24.0,
31.1703, 10000,26.0,
31.2003, 10000,26.0,
31.2303, 10000,26.0,
31.260302, 10000,25.0,
31.290302, 10000,24.0,
31.320303, 10000,24.0,
31.350304, 10000,24.0,
31.380304, 10000,25.0,
31.410305, 10000,23.0,
31.440306, 10000,25.0,
31.470306, 10000,24.0,
31.500307, 10000,26.0,
31.530308, 10000,26.0,
31.560308, 10000,26.0,
31.59031, 10000,26.0,
31.62031, 10000,25.0,
31.65031, 10000,25.0,
31.680311, 10000,24.0,
31.710312, 10000,25.0,
31.740313, 10000,25.0,
31.770313, 10000,25.0,
31.800314, 10000,26.0,
31.830315, 10000,25.0,
31.860315, 10000,26.0,
31.890316, 10000,25.0,
31.920317, 10000,24.0,
31.950317, 10000,24.0,
31.980318, 10000,25.0,
32.01032, 10000,26.0,
32.040318, 10000,26.0,
32.070316, 10000,26.0,
32.100315, 10000,25.0,
32.130314, 10000,24.0,
32.160313, 10000,27.0,
32.19031, 10000,25.0,
32.22031, 10000,25.0,
32.25031, 10000,25.0,
32.280308, 10000,25.0,
32.310307, 10000,25.0,
32.340305, 10000,25.0,
32.370304, 10000,25.0,
32.400303, 10000,26.0,
32.4303, 10000,25.0,
32.4603, 10000,26.0,
32.4903, 10000,26.0,
32.520298, 10000,25.0,
32.550297, 10000,24.0,
32.580296, 10000,26.0,
32.610294, 10000,25.0,
32.640293, 10000,25.0,
32.67029, 10000,25.0,
32.70029, 10000,24.0,
32.73029, 10000,24.0,
32.76029, 10000,26.0,
32.790287, 10000,26.0,
32.820286, 10000,26.0,
32.850285, 10000,25.0,
32.880