t, n, Tsim, deviation, collisionCount
231.2095, 90,0.0,4,14
231.2595, 90,0.0,1,7
231.30951, 90,0.0,0,9
231.35951, 90,0.0,0,7
231.40952, 90,0.0,0,4
231.45952, 90,0.0,0,4
231.50952, 90,0.0,0,3
231.55952, 90,0.0,0,3
231.60953, 90,0.0,0,3
231.65953, 90,0.0,0,1
231.75954, 90,0.0,0,1
231.90955, 90,0.0,0,4
231.95955, 90,0.0,0,2
232.00955, 90,1.0,0,2
232.05956, 90,0.0,0,2
232.10956, 90,3.0,0,4
232.15956, 90,0.0,0,4
232.20956, 90,0.0,0,3
232.25957, 90,0.0,0,3
232.30957, 90,0.0,0,1
232.40958, 90,0.0,0,3
232.50958, 90,0.0,0,2
232.60959, 90,0.0,0,2
232.95961, 90,0.0,0,2
233.00961, 90,0.0,0,9
233.05962, 90,0.0,0,9
233.10962, 90,0.0,0,12
233.15962, 90,0.0,0,7
233.20963, 90,0.0,0,8
233.25963, 90,0.0,0,10
233.30963, 90,0.0,0,11
233.35963, 90,0.0,0,4
233.40964, 90,0.0,0,9
233.45964, 90,0.0,0,6
233.50964, 90,0.0,0,8
233.55965, 90,0.0,0,5
233.60965, 90,0.0,0,6
233.65965, 90,0.0,0,7
233.70966, 90,0.0,0,4
233.75966, 90,0.0,0,2
233.80966, 90,0.0,0,2
233.85966, 90,0.0,0,5
233.90967, 90,0.0,0,1
233.95967, 90,0.0,0,1
234.00967, 90,0.0,0,4
234.05968, 90,0.0,0,1
234.10968, 90,0.0,0,2
234.15968, 90,0.0,0,1
234.20969, 90,0.0,0,1
234.25969, 90,0.0,0,4
234.3097, 90,0.0,0,1
234.3597, 90,0.0,0,8
234.4097, 90,0.0,0,9
234.4597, 90,0.0,0,7
234.5097, 90,0.0,0,6
234.55971, 90,0.0,0,4
234.60971, 90,0.0,0,2
234.70972, 90,0.0,0,6
234.75972, 90,0.0,0,5
234.80972, 90,0.0,0,5
234.85973, 90,1.0,0,4
234.95973, 90,0.0,0,2
235.00974, 90,0.0,0,3
235.05974, 90,0.0,0,4
235.10974, 90,0.0,0,2
235.20975, 90,0.0,0,3
235.25975, 90,0.0,0,3
235.30975, 90,0.0,0,4
235.35976, 90,0.0,0,3
235.40976, 90,0.0,0,3
235.45976, 90,0.0,0,3
235.50977, 90,0.0,0,5
235.55977, 90,0.0,0,4
235.60977, 90,0.0,0,3
235.65977, 90,0.0,0,3
235.75978, 90,0.0,0,2
235.80978, 90,0.0,0,3
235.85979, 90,0.0,0,2
236.0098, 90,0.0,0,2
236.0598, 90,0.0,0,1
236.1598, 90,0.0,0,2
236.20981, 90,0.0,0,5
236.25981, 90,0.0,0,5
236.30981, 90,0.0,0,2
236.35982, 90,0.0,0,2
236.40982, 90,0.0,0,5
236.45982, 90,0.0,0,5
236.50983, 90,0.0,0,1
236.55983, 90,0.0,0,2
236.60983, 90,0.0,0,3
236.65984, 90,0.0,0,4
236.70984, 90,0.0,0,1
236.75984, 90,0.0,0,1
236.85985, 90,0.0,0,5
236.90985, 90,0.0,0,3
236.95985, 90,0.0,0,2
237.00986, 90,0.0,0,2
237.25987, 90,0.0,0,2
237.35988, 90,0.0,0,2
237.40988, 90,0.0,0,3
237.45988, 90,0.0,0,4
237.50989, 90,0.0,0,1
237.6099, 90,0.0,0,2
237.6599, 90,1.0,0,3
237.7599, 90,0.0,0,3
237.8099, 90,0.0,0,2
237.85991, 90,0.0,0,1
238.20993, 90,0.0,0,2
238.25993, 90,0.0,0,3
238.30994, 90,0.0,0,2
238.35994, 90,0.0,0,7
238.40994, 90,0.0,0,5
238.45995, 90,0.0,0,4
238.50995, 90,0.0,0,9
238.55995, 90,0.0,0,13
238.60995, 90,0.0,0,13
238.65996, 90,0.0,0,15
238.70996, 90,0.0,0,11
238.75996, 90,0.0,0,6
238.80997, 90,0.0,0,7
238.85997, 90,1.0,0,3
238.90997, 90,0.0,0,5
238.95998, 90,0.0,0,13
239.00998, 90,0.0,0,7
239.05998, 90,0.0,0,9
239.10999, 90,1.0,0,7
239.15999, 90,0.0,0,10
239.20999, 90,0.0,0,2
239.26, 90,0.0,0,4
239.31, 90,0.0,0,3
239.36, 90,0.0,0,5
239.41, 90,0.0,0,4
239.46, 90,0.0,0,4
239.51001, 90,0.0,0,3
239.56001, 90,0.0,0,3
239.61002, 90,0.0,0,3
239.66002, 90,0.0,0,2
239.71002, 90,0.0,0,3
239.76003, 90,0.0,0,3
239.81003, 90,0.0,0,6
239.86003, 90,0.0,0,5
239.91003, 90,0.0,0,3
239.96004, 90,0.0,0,3
240.01004, 90,0.0,0,1
240.06004, 90,0.0,0,8
240.11005, 90,0.0,0,9
240.16005, 90,0.0,0,9
240.21005, 90,0.0,0,6
240.26006, 90,0.0,0,7
240.31006, 90,0.0,0,3
240.36006, 90,0.0,0,2
240.41006, 90,0.0,0,4
240.46007, 90,0.0,0,5
240.51007, 90,0.0,0,3
240.56007, 90,0.0,0,4
240.61008, 90,0.0,0,2
240.66008, 90,0.0,0,1
240.71008, 90,0.0,0,3
240.76009, 90,0.0,1,6
240.81009, 90,0.0,0,9
240.86009, 90,0.0,0,11
240.9101, 90,0.0,0,9
240.9601, 90,0.0,0,6
241.0101, 90,0.0,0,8
241.0601, 90,0.0,0,4
241.1101, 90,0.0,0,3
241.26012, 90,0.0,0,1
241.36012, 90,0.0,0,3
241.41013, 90,0.0,0,2
241.46013, 90,0.0,0,3
241.51013, 90,0.0,0,4
241.61014, 90,0.0,0,1
241.71014, 90,0.0,0,2
241.76015, 90,0.0,0,4
241.81015, 90,1.0,0,4
241.86015, 90,0.0,0,1
241.91016, 90,0.0,0,2
241.96016, 90,0.0,0,2
242.06017, 90,0.0,0,3
242.11017, 90,0.0,0,3
242.16017, 90,0.0,0,2
242.21017, 90,0.0,0,2
242.31018, 90,0.0,0,2
242.36018, 90,0.0,0,2
242.5602, 90,0.0,0,1
242.6602, 90,0.0,0,1
242.7102, 90,0.0,0,1
242.86021, 90,0.0,0,3
242.91022, 90,0.0,0,2
242.96022, 90,0.0,0,1
243.01022, 90,0.0,0,1
243.16023, 90,0.0,0,2
243.21024, 90,0.0,0,2
243.26024, 90,0.0,0,2
243.31024, 90,0.0,0,4
243.36024, 90,0.0,0,3
243.41025, 90,0.0,0,1
243.46025, 90,0.0,0,2
243.51025, 90,0.0,0,2
243.56026, 90,0.0,0,4
243.61026, 90,0.0,0,4
243.66026, 90,0.0,0,4
243.71027, 90,0.0,0,1
243.91028, 90,0.0,0,2
243.96028, 90,0.0,0,2
244.1603, 90,0.0,0,6
244.2103, 90,1.0,0,8
244.2603, 90,0.0,0,6
244.3103, 90,0.0,0,9
244.3603, 90,0.0,0,10
244.41031, 90,0.0,0,10
244.46031, 90,0.0,0,7
244.51031, 90,0.0,0,10
244.56032, 90,0.0,0,10
244.61032, 90,0.0,0,6
244.66032, 90,0.0,0,3
244.71033, 90,0.0,0,8
244.76033, 90,0.0,0,11
244.81033, 90,0.0,0,7
244.86034, 90,0.0,0,4
244.91034, 90,0.0,0,6
244.96034, 90,0.0,0,2
245.01035, 90,0.0,0,5
245.06035, 90,0.0,0,7
245.11035, 90,0.0,0,5
245.16035, 90,1.0,0,4
245.21036, 90,0.0,0,4
245.26036, 90,0.0,0,1
245.31036, 90,0.0,0,2
245.36037, 90,0.0,0,4
245.41037, 90,0.0,0,4
245.46037, 90,1.0,0,3
245.51038, 90,0.0,0,1
245.56038, 90,0.0,0,5
245.61038, 90,0.0,2,6
245.66039, 90,0.0,0,15
245.71039, 90,0.0,4,9
245.76039, 90,0.0,2,2
245.8604, 90,0.0,0,6
245.9104, 90,0.0,0,2
245.9604, 90,0.0,0,3
246.0104, 90,0.0,0,4
246.06041, 90,0.0,0,4
246.11041, 90,0.0,0,4
246.16042, 90,0.0,0,6
246.21042, 90,0.0,0,7
246.26042, 90,0.0,0,4
246.31042, 90,0.0,0,1
246.36043, 90,0.0,0,4
246.41043, 90,0.0,0,3
246.46043, 90,1.0,0,1
246.56044, 90,0.0,0,2
246.61044, 90,0.0,0,2
246.66045, 90,0.0,0,5
246.71045, 90,0.0,0,7
246.76045, 90,1.0,0,4
246.81046, 90,0.0,0,3
246.86046, 90,0.0,0,4
246.91046, 90,0.0,0,3
246.96046, 90,0.0,0,1
247.01047, 90,0.0,0,3
247.06047, 90,0.0,0,4
247.11047, 90,0.0,0,3
247.16048, 90,0.0,0,2
247.21048, 90,0.0,0,2
247.26048, 90,0.0,0,3
247.31049, 90,0.0,0,2
247.36049, 90,0.0,0,2
247.41049, 90,0.0,0,8
247.4605, 90,0.0,0,6
247.5105, 90,0.0,0,2
247.5605, 90,0.0,0,4
247.6105, 90,0.0,0,3
247.6605, 90,0.0,0,1
247.96053, 90,0.0,0,2
248.01053, 90,0.0,0,4
248.06053, 90,0.0,0,3
248.11053, 90,0.0,0,3
248.16054, 90,0.0,0,2
248.21054, 90,0.0,0,3
248.26054, 90,0.0,0,2
248.36055, 90,0.0,0,2
248.41055, 90,0.0,0,2
248.46056, 90,0.0,0,3
248.51056, 90,0.0,0,1
248.56056, 90,0.0,0,4
248.61057, 90,0.0,0,4
248.66057, 90,0.0,0,7
248.71057, 90,0.0,0,4
248.76057, 90,0.0,0,5
248.81058, 90,0.0,0,1
249.1606, 90,0.0,0,2
249.31061, 90,0.0,0,3
249.36061, 90,0.0,0,2
249.41061, 90,0.0,0,2
249.46062, 90,0.0,0,2
249.51062, 90,0.0,0,4
249.56062, 90,0.0,0,3
249.61063, 90,0.0,0,2
249.66063, 90,0.0,0,1
249.71063, 90,0.0,0,6
249.76064, 90,1.0,0,6
249.81064, 90,0.0,0,7
249.86064, 90,0.0,0,2
249.91064, 90,0.0,0,7
249.96065, 90,0.0,0,6
250.01065, 90,0.0,0,5
250.06065, 90,0.0,0,7
250.11066, 90,0.0,0,7
250.16066, 90,0.0,0,6
250.21066, 90,0.0,0,5
250.26067, 90,0.0,0,7
250.31067, 90,0.0,2,7
250.36067, 90,0.0,0,8
250.41068, 90,0.0,2,9
250.46068, 90,1.0,3,8
250.51068, 90,0.0,0,10
250.56068, 90,1.0,0,7
250.61069, 90,0.0,0,7
250.66069, 90,0.0,0,7
250.7107, 90,1.0,0,6
250.7607, 90,0.0,0,2
250.8107, 90,0.0,0,3
250.8607, 90,0.0,0,1
250.96071, 90,0.0,0,2
251.01071, 90,0.0,0,1
251.11072, 90,0.0,0,5
251.16072, 90,0.0,0,6
251.21072, 90,0.0,0,6
251.26073, 90,0.0,0,2
251.31073, 90,0.0,0,2
251.36073, 90,0.0,0,2
251.41074, 90,0.0,0,2
251.46074, 90,0.0,0,5
251.51074, 90,0.0,0,3
251.56075, 90,0.0,0,5
251.61075, 90,0.0,0,2
251.71075, 90,0.0,0,1
251.76076, 90,0.0,0,3
251.81076, 90,0.0,0,3
251.86076, 90,0.0,0,1
251.91077, 90,0.0,0,2
251.96077, 90,0.0,0,6
252.01077, 90,0.0,0,1
252.06078, 90,0.0,0,2
252.11078, 90,0.0,0,3
252.16078, 90,0.0,0,1
252.21078, 90,0.0,0,3
252.26079, 90,0.0,0,4
252.31079, 90,0.0,0,5
252.3608, 90,0.0,0,4
252.4108, 90,0.0,0,1
252.5108, 90,0.0,0,1
252.71082, 90,0.0,0,1
252.76082, 90,1.0,0,1
252.81082, 90,0.0,0,2
252.86082, 90,0.0,0,2
252.91083, 90,0.0,0,1
253.01083, 90,0.0,0,5
253.06084, 90,0.0,0,5
253.11084, 90,0.0,0,4
253.16084, 90,0.0,0,4
253.21085, 90,0.0,0,2
253.26085, 90,0.0,0,2
253.31085, 90,0.0,0,1
253.41086, 90,0.0,0,2
253.46086, 90,0.0,0,3
253.61087, 90,0.0,0,4
253.66087, 90,0.0,0,6
253.71088, 90,0.0,0,5
253.76088, 90,0.0,0,3
253.81088, 90,0.0,0,1
253.86089, 90,0.0,0,3
253.91089, 90,0.0,0,1
254.0109, 90,0.0,0,2
254.0609, 90,0.0,0,1
254.26091, 90,0.0,0,1
254.31091, 90,0.0,0,3
254.36092, 90,0.0,0,3
254.41092, 90,0.0,0,1
254.46092, 90,0.0,0,2
254.51093, 90,0.0,0,1
254.76094, 90,0.0,0,9
254.81094, 90,0.0,0,13
254.86095, 90,0.0,0,12
254.91095, 90,0.0,0,12
254.96095, 90,0.0,0,9
255.01096, 90,0.0,0,10
255.06096, 90,0.0,0,4
255.11096, 90,0.0,0,1
255.21097, 90,0.0,0,1
255.26097, 90,0.0,0,4
255.31097, 90,0.0,0,9
255.36098, 90,0.0,0,7
255.41098, 90,0.0,0,5
255.46098, 90,0.0,0,11
255.51099, 90,0.0,0,7
255.56099, 90,0.0,0,10
255.611, 90,0.0,0,11
255.661, 90,0.0,0,10
255.711, 90,0.0,0,1
255.761, 90,0.0,0,6
255.811, 90,0.0,0,7
255.86101, 90,0.0,0,10
255.91101, 90,0.0,0,10
255.96101, 90,0.0,0,8
256.01102, 90,0.0,0,7
256.061, 90,0.0,0,6
256.111, 90,0.0,0,8
256.16098, 90,0.0,0,5
256.21097, 90,0.0,0,6
256.26096, 90,0.0,0,8
256.31094, 90,0.0,0,4
256.36093, 90,0.0,0,1
256.41092, 90,0.0,0,3
256.4609, 90,0.0,0,3
256.5109, 90,0.0,0,4
256.56088, 90,0.0,0,1
256.61087, 90,0.0,0,2
256.66086, 90,0.0,0,1
256.71085, 90,0.0,0,5
256.76083, 90,0.0,0,5
256.81082, 90,0.0,0,7
256.8608, 90,0.0,0,4
256.9108, 90,0.0,0,6
256.9608, 90,0.0,0,2
257.01077, 90,0.0,0,2
257.06076, 90,0.0,0,4
257.11075, 90,0.0,0,5
257.16074, 90,0.0,0,4
257.21072, 90,0.0,0,4
257.2607, 90,0.0,0,4
257.3107, 90,0.0,0,6
257.3607, 90,0.0,0,3
257.41068, 90,0.0,0,1
257.46066, 90,0.0,0,3
257.51065, 90,0.0,0,2
257.56064, 90,1.0,0,3
257.61063, 90,0.0,0,2
257.6606, 90,0.0,0,1
257.7106, 90,0.0,0,4
257.7606, 90,0.0,0,5
257.81058, 90,0.0,0,3
257.86057, 90,0.0,0,2
257.91055, 90,0.0,0,3
257.96054, 90,0.0,0,2
258.01053, 90,0.0,0,1
258.1105, 90,0.0,0,3
258.1605, 90,0.0,0,2
258.21048, 90,0.0,0,2
258.26047, 90,0.0,0,2
258.41043, 90,0.0,0,3
258.46042, 90,0.0,0,2
258.5104, 90,0.0,0,3
